JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J1856+0113,B1853+01,18:56:10.6506,,+01:13:21.2765,,3.7391619008,9e-10,-2.913147e-12,8e-18,0.26743960987248194,6.43715504358708e-11,2.0835976559733968e-13,5.721915682212555e-19,96.74,0.12,-140.0,30.0,3.3,SNR,,,,20336.579421399234,7553874643562.845,4.300276756450449e+35,1.0,HE,,,,,,,,
J1856-0526,,18:56:21.977,0.015,-05:26:56.8,0.8,2.69917613841,5e-11,-1.2367e-14,6e-18,0.37048341742864865,6.862898129480516e-12,1.6974692233457108e-15,8.235477755376643e-19,130.5,0.4,146.0,15.0,4.01,,,,,3458063.0104094627,802482036943.728,1.3178176607786134e+33,,,,,,,,,,
J1857+0057,B1854+00,18:57:00.807,,+00:57:16.7769,,2.8016776601,3e-11,-4.2846e-16,1.7e-19,0.3569289980219591,3.82194928886879e-12,5.4585079743624065e-17,2.1657712636923177e-20,82.39,0.11,104.0,19.0,2.51,,,,,103603379.21842408,141246556657.20367,4.739016135002384e+31,,,,,,,,,,
J1857+0143,,18:57:33.008,0.015,+01:43:47.0,0.9,7.1551197652,1.7e-10,-1.59564e-12,6e-17,0.13976006451543274,3.320588857670847e-12,3.116743767561124e-14,1.1719725380024113e-18,249.0,3.0,41.9,4.3,4.57,,,,,71047.37391878862,2111991054605.0935,4.507249083250171e+35,,HE,,,,,,,,
J1857+0212,B1855+02,18:57:43.6414,,+02:12:41.1161,,2.40486905991,4e-11,-2.329083e-13,3e-19,0.41582305526331814,6.916352531540821e-12,4.0271897758046724e-14,5.187264400385563e-20,506.77,0.18,423.0,21.0,8.0,,,,,163595.93443357182,4141000745304.3315,2.211241299523029e+34,,,,,,,,,,
J1857+0526,,18:57:15.856,0.008,+05:26:28.7,0.5,2.8575414635864003,3.266217286446203e-11,-5.6596196585218195e-14,6.5324345728925335e-18,0.349951177522,4e-12,6.9311e-15,8e-19,466.4,1.2,951.3,7.1,12.26,,,,,799965.6363304505,1575994836628.3691,6.384685713678126e+33,,,,,,,,,,
J1857+0809,,18:57:09.31,0.03,+08:09:04.3,0.8,1.98837251247,5e-11,-1.873e-14,3e-18,0.5029238705164849,1.2646620976764103e-11,4.737424217895833e-15,7.587972586058836e-19,282.0,3.0,,,13.14,,,,,1682000.0742699075,1561968390626.8171,1.4702638014979194e+33,,,,,,,,,,
J1858+0319,,18:58:40.88,0.03,+03:19:21.5,1.0,1.1528123314116618,5.315905085819165e-11,-1.362200678241161e-16,1.9934644071821866e-18,0.86744387855,4e-11,1.025e-16,1.5e-18,284.0,3.0,,,4.78,,,,,134086038.0352891,301739804289.4043,6.199539655111383e+30,,,,,,,,,,
J1858+0346,,18:58:22.36,0.02,+03:46:37.8,0.8,3.8934169638570397,7.579347827224884e-11,-3.092525500464297e-14,6.063478261780027e-18,0.25684379795,5e-12,2.0401e-15,4e-19,386.0,1.0,,,5.49,,,,,1994727.9113593227,732504417031.4211,4.753395415186197e+33,,,,,,,,,,
J1859+0601,,18:59:45.76,0.05,+06:01:46.1,1.8,0.95756759282,1.3e-10,-2.339e-14,3e-17,1.0443127017854041,1.4177657248434295e-10,2.5508877156990628e-14,3.2717670573310646e-17,276.0,7.0,,,6.44,,,,,648642.2823674323,5222890606693.649,8.842180950085481e+32,,,,,,,,,,
J1859+0603,,18:59:42.131,0.016,+06:03:54.5,0.5,1.9663321475056033,6.572985594333796e-11,-6.1457415307021e-15,3.86646211431402e-18,0.508561079708,1.7e-11,1.5895e-15,1e-18,378.6,2.0,,,9.0,,,,,5069307.377346486,909812301666.9795,4.77079667159759e+32,,,,,,,,,,
J1900+0634,,19:00:28.034,0.02,+06:34:20.9,0.6,2.56496346332,1.3e-10,-3.372e-14,3e-17,0.38986910117839835,1.9759729086974784e-11,5.125369729329153e-15,4.559937481609596e-18,323.4,1.8,,,8.59,,,,,1205201.4748733684,1430447709121.3296,3.4145107616768774e+33,,,,,,,,,,
J1900-0051,,19:00:46.644,0.007,-00:51:08.4,0.5,2.59609379619,4e-11,-9.58e-16,6e-18,0.38519409486189965,5.934979628659126e-12,1.4214276210638607e-16,8.902469442988688e-19,136.8,0.7,231.4,8.8,4.23,,,,,42935933.291818626,236783896945.96518,9.818510867497543e+31,,,,,,,,,,
